Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-01-03,4999,0.14,13.6,13.71,13.6,0.00%,1000000.0,2360000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-04,4998,0.13,13.48,0.13,13.48,-7.14%,1000000.0,5310000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4027793499.6
NB,CONSUMER GOODS,2000-01-05,4997,0.13,13.48,0.13,0.13,0.00%,1000000.0,25060000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4027793499.6
NB,CONSUMER GOODS,2000-01-10,4996,0.14,13.6,0.14,0.14,7.69%,1000000.0,18170000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-11,4995,0.14,13.72,0.14,0.14,0.00%,1000000.0,19670000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-12,4994,0.14,13.84,13.84,0.14,0.00%,1000000.0,34650000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-13,4993,0.14,14.08,14.08,0.14,0.00%,1000000.0,19520000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-14,4992,0.14,14.14,14.14,0.14,0.00%,1000000.0,16540000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-17,4991,0.14,14.4,14.4,0.14,0.00%,1000000.0,15830000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4337623768.8
NB,CONSUMER GOODS,2000-01-18,4990,0.15,14.96,14.96,0.15,7.14%,1000000.0,17280000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-01-19,4989,0.15,14.96,0.15,0.15,0.00%,1000000.0,27900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-01-20,4988,0.15,15.2,15.2,0.15,0.00%,1000000.0,27560000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-01-21,4987,0.15,15.11,0.15,0.15,0.00%,1000000.0,25180000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-01-24,4986,0.15,15.11,0.15,0.15,0.00%,1000000.0,37700000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-01-25,4985,0.16,15.86,15.86,0.16,6.67%,1000000.0,28800000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-01-26,4984,0.16,15.86,0.16,0.16,0.00%,1000000.0,33890000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-01-27,4983,0.16,15.84,0.16,0.16,0.00%,1000000.0,20260000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-01-28,4982,0.16,15.84,0.16,0.16,0.00%,1000000.0,2460000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-01-31,4981,0.16,15.85,0.16,0.16,0.00%,1000000.0,3930000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-01,4980,0.16,15.86,0.16,0.16,0.00%,1000000.0,8630000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-02,4979,0.15,15.44,0.15,0.15,-6.25%,1000000.0,4120000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4647454038.0
NB,CONSUMER GOODS,2000-02-03,4978,0.16,15.6,0.16,0.16,6.67%,1000000.0,67700000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-04,4977,0.16,15.92,15.92,0.16,0.00%,1000000.0,35720000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-07,4976,0.16,15.97,15.97,0.16,0.00%,1000000.0,11490000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-08,4975,0.16,16.02,16.02,0.16,0.00%,1000000.0,5090000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-09,4974,0.16,16.4,16.4,0.16,0.00%,1000000.0,12900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-10,4973,0.17,17.22,17.22,0.17,6.25%,1000000.0,11880000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-02-11,4972,0.16,16.36,0.16,0.16,-5.88%,1000000.0,10830000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-14,4971,0.16,15.9,0.16,0.16,0.00%,1000000.0,30040000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
NB,CONSUMER GOODS,2000-02-15,4970,0.16,15.9,0.16,0.16,0.00%,1000000.0,130840000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,4957284307.2
